Sr.,term,relevant,retrieved_our,True Positive (TP),False Positive (FP),False Negative (FN),Precision,Recall,time
1,tubulin alpha 1a,69,69,60,0,9,0.869565217,0.769230769,1
2,"phosphofructokinase, muscle",30,60,30,30,0,0.5,1,3
3,"Hydatidiform Mole, Partial",38,38,35,0,3,0.921052632,0.853658537,2
4,Drug withdrawal syndrome,13,13,12,0,1,0.923076923,0.857142857,1
5,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A (disorder)",11,11,9,0,2,0.818181818,0.692307692,1
6,Prostate carcinoma,16608,16608,16000,0,608,0.963391137,0.92936803,15
7,endogenous retrovirus group K member 20,717,717,700,0,17,0.976290098,0.953678474,3
8,Penis carcinoma,23,23,17,0,6,0.739130435,0.586206897,1
9,interferon lambda 2,19,19,15,0,4,0.789473684,0.652173913,1
10,transcription factor 12,22,506,22,484,0,0.043478261,1,3
11,AIDS-Related Non-Hodgkin Lymphoma,11,11,10,0,1,0.909090909,0.833333333,1
12,protein-L-isoaspartate (D-aspartate) O-methyltransferase,17,46,17,29,0,0.369565217,1,1
13,NCK associated protein 1,16,19,16,3,0,0.842105263,1,1
14,kallikrein related peptidase 4,216,216,205,0,11,0.949074074,0.9030837,1
15,Dyggve-Melchior-Clausen syndrome,14,14,12,0,2,0.857142857,0.75,1
16,branched chain amino acid transaminase 1,19,19,11,0,8,0.578947368,0.407407407,7
17,Posterior urethral valves,12,12,9,0,3,0.75,0.6,1
18,nucleotide binding oligomerization domain containing 2,2054,2054,2000,0,54,0.973709834,0.948766603,3
19,sorting nexin 9,13,26,13,13,0,0.5,1,0
20,Pulmonary Alveolar Proteinosis,107,110,93,3,14,0.845454545,0.768595041,1
21,fructosamine 3 kinase,12,26,12,14,0,0.461538462,1,3
22,secretoglobin family 2A member 2,108,108,99,0,9,0.916666667,0.846153846,1
23,Hurler-Scheie Syndrome,22,22,14,0,8,0.636363636,0.466666667,1
24,syntaxin 16,20,40,20,20,0,0.5,1,3
25,fibronectin type III and SPRY domain containing 1 like,160,160,150,0,10,0.9375,0.882352941,1
26,AICARDI-GOUTIERES SYNDROME,68,273,68,205,0,0.249084249,1,1
27,Stage III Colorectal Cancer,14,25,14,11,0,0.56,1,0
28,RAPP-HODGKIN SYNDROME,49,49,40,0,9,0.816326531,0.689655172,1
29,adenosine deaminase RNA specific,133,198,133,65,0,0.671717172,1,3
30,"Bronchiolitis, Viral",237,237,223,0,14,0.94092827,0.888446215,1
31,Adamantinous Craniopharyngioma,12,12,11,0,1,0.916666667,0.846153846,1
32,Peripheral Neuropathy,673,678,660,5,13,0.973451327,0.962099125,1
33,Sebaceous Adenocarcinoma,38,38,33,0,5,0.868421053,0.76744186,0
34,"Neoplasms, Intracranial",78,78,72,0,6,0.923076923,0.857142857,0
35,Nemaline myopathy 3,13,13,12,0,1,0.923076923,0.857142857,1
36,Cerebral Aneurysm,38,38,29,0,9,0.763157895,0.617021277,1
37,Greig cephalopolysyndactyly syndrome,71,71,66,0,5,0.929577465,0.868421053,1
38,Crescentic Glomerulonephritis,50,50,47,0,3,0.94,0.886792453,0
39,Inverted Papilloma,41,41,37,0,4,0.902439024,0.822222222,0
40,Periapical Granuloma,13,13,13,0,0,1,1,1
41,Ovarian Diseases,700,700,687,0,13,0.981428571,0.963534362,2
42,"Alport Syndrome, X-Linked",105,105,100,0,5,0.952380952,0.909090909,0
43,kallikrein related peptidase 12,20,20,12,0,8,0.6,0.428571429,1
44,CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS (disorder),14,14,11,0,3,0.785714286,0.647058824,1
45,Color blindness,26,39,26,13,0,0.666666667,1,1
46,lymphotoxin alpha,985,1970,985,985,0,0.5,1,9
47,metal regulatory transcription factor 1,11,305,11,294,0,0.036065574,1,3
48,Anemia of chronic disease,62,62,58,0,4,0.935483871,0.878787879,1
49,NOTCH1 [plasma membrane],18,18,15,0,3,0.833333333,0.714285714,0
50,Complex Regional Pain Syndromes,11,11,11,0,0,1,1,1
51,talin 1,20,40,20,20,0,0.5,1,3
52,Sessile Serrated Adenoma/Polyp,45,45,42,0,3,0.933333333,0.875,0
53,Thrombocytopenic purpura,20,24,20,4,0,0.833333333,1,1
54,Bacteroides fragilis infection in conditions classified elsewhere and of unspecified site,19,19,19,0,0,1,1,1
55,microtubule affinity regulating kinase 4,11,11,11,0,0,1,1,1
56,Stable angina,143,143,135,0,8,0.944055944,0.894039735,1
57,Meningeal Carcinomatosis,16,16,13,0,3,0.8125,0.684210526,0
58,Atypical Ductal Breast Hyperplasia,35,35,35,0,0,1,1,0
59,ganglioside induced differentiation associated protein 1,144,288,144,144,0,0.5,1,1
60,cyclin A1,119,238,119,119,0,0.5,1,3
61,DNA Damage,327,5263,327,4936,0,0.062131864,1,13
62,NOTCH2 [plasma membrane],12,12,11,0,1,0.916666667,0.846153846,1
63,fibrinogen like 2,24,24,24,0,0,1,1,1
64,Prenatal Exposure Delayed Effects,82,82,74,0,8,0.902439024,0.822222222,1
65,syntaxin binding protein 2,19,38,19,19,0,0.5,1,1
66,Virchow's node (disorder),14,14,11,0,3,0.785714286,0.647058824,0
67,"Liver Cirrhosis, Experimental",286,286,266,0,20,0.93006993,0.869281046,1
68,kininogen 1,261,522,261,261,0,0.5,1,2
69,Diabetic Nephropathy,2181,2222,2000,41,181,0.900090009,0.846740051,33
70,Epidermolysis Bullosa Simplex Kobner,29,29,25,0,4,0.862068966,0.757575758,1
71,histatin 3,23,46,23,23,0,0.5,1,2
72,Cholestatic liver disease,34,34,30,0,4,0.882352941,0.789473684,0
73,septin 9,146,292,146,146,0,0.5,1,3
74,Anthrax disease,63,63,55,0,8,0.873015873,0.774647887,1
75,ATP/GTP binding protein like 2,14,14,14,0,0,1,1,0
76,Classical galactosemia,120,120,98,0,22,0.816666667,0.690140845,1
77,Renal tubular acidosis,43,117,43,74,0,0.367521368,1,1
78,Antisocial behavior,140,141,135,1,5,0.957446809,0.931034483,1
79,Myxoid/Round Cell Liposarcoma,36,36,36,0,0,1,1,0
80,nuclear factor of activated T cells 5,23,23,16,0,7,0.695652174,0.533333333,1
81,Pena-Shokeir syndrome type I,11,11,11,0,0,1,1,1
82,Fanconi Anemia,1157,8321,1157,7164,0,0.139045788,1,30
83,formimidoyltransferase cyclodeaminase,19,38,19,19,0,0.5,1,3
84,"Colitis, Collagenous",18,18,15,0,3,0.833333333,0.714285714,1
85,fungal keratitis,14,14,11,0,3,0.785714286,0.647058824,1
86,L-2-HYDROXYGLUTARIC ACIDURIA,13,13,13,0,0,1,1,1
87,transcription elongation regulator 1 like,14,14,14,0,0,1,1,1
88,Origin recognition complex subunit 4,11,313,11,302,0,0.03514377,1,3
89,Isovaleryl-CoA dehydrogenase deficiency,70,70,63,0,7,0.9,0.818181818,1
90,sushi repeat containing protein X-linked 2,38,38,33,0,5,0.868421053,0.76744186,1
91,"protein C, inactivator of coagulation factors Va and VIIIa",2389,2389,2000,0,389,0.837170364,0.719942405,4
92,family with sequence similarity 126 member A,615,615,600,0,15,0.975609756,0.952380952,1
93,Congenital amegakaryocytic thrombocytopenia,32,32,21,0,11,0.65625,0.488372093,1
94,Anxiety Disorders,1137,1137,1000,0,137,0.879507476,0.784929356,2
95,pricking of skin,41,41,38,0,3,0.926829268,0.863636364,1
96,Transient Ischemic Attack,263,263,260,0,3,0.988593156,0.977443609,1
97,aldo-keto reductase family 1 member C1,50,488,50,438,0,0.102459016,1,5
98,High Grade Cervical Intraepithelial Neoplasia,42,42,37,0,5,0.880952381,0.787234043,1
99,Kearns-Sayre syndrome,19,19,19,0,0,1,1,0
100,Cutaneous Melanoma,677,677,644,0,33,0.951255539,0.907042254,2
101,Chronic Obstructive Airway Disease,2296,2296,2000,0,296,0.871080139,0.771604938,3
102,tubulin beta 2B class IIb,30,30,24,0,6,0.8,0.666666667,1
103,Chronic Glomerulonephritis,21,21,19,0,2,0.904761905,0.826086957,1
104,phosphoglycerate dehydrogenase,110,224,110,114,0,0.491071429,1,3
105,Robinow Syndrome,45,67,45,22,0,0.671641791,1,1
106,Common Migraine,117,117,107,0,10,0.914529915,0.842519685,1
107,Thyroid associated opthalmopathies,231,231,212,0,19,0.917748918,0.848,1
108,caspase 5,34,68,34,34,0,0.5,1,1
109,cyclin dependent kinase inhibitor 1C,436,436,400,0,36,0.917431193,0.847457627,2
110,tubulin beta 1 class VI,15,15,15,0,0,1,1,0
111,myosin heavy chain 7,339,352,339,13,0,0.963068182,1,1
112,fibroblast activation protein alpha,212,212,190,0,22,0.896226415,0.811965812,2
113,"membrane bound transcription factor peptidase, site 2",86,86,80,0,6,0.930232558,0.869565217,1
114,glycerol kinase,68,739,68,671,0,0.092016238,1,4
115,"Foramen Ovale, Patent",27,27,22,0,5,0.814814815,0.6875,1
116,Ethylmalonic encephalopathy,25,52,25,27,0,0.480769231,1,1
117,cytotoxic T-lymphocyte associated protein 4,2058,2058,2000,0,58,0.971817298,0.945179584,3
118,NIMA related kinase 1,20,29,20,9,0,0.689655172,1,1
119,endothelin 1,1111,2222,1111,1111,0,0.5,1,7
120,Pigmentation Disorders,14,14,11,0,3,0.785714286,0.647058824,1
121,"protein phosphatase, Mg2+/Mn2+ dependent 1D",146,146,124,0,22,0.849315068,0.738095238,1
122,"Paraparesis, Spastic",108,108,99,0,9,0.916666667,0.846153846,1
123,Perivascular Epithelioid Cell Neoplasms,36,36,29,0,7,0.805555556,0.674418605,0
124,tau tubulin kinase 2,22,44,22,22,0,0.5,1,0
125,idiopathic hypercalciuria,18,18,16,0,2,0.888888889,0.8,0
126,protein phosphatase 1 regulatory inhibitor subunit 1B,100,100,93,0,7,0.93,0.869158879,1
127,Prolapsed lumbar disc,17,17,17,0,0,1,1,0
128,claudin 16,77,154,77,77,0,0.5,1,1
129,NOONAN-LIKE/MULTIPLE GIANT CELL LESION SYNDROME (disorder),11,11,9,0,2,0.818181818,0.692307692,0
130,"BRACHYDACTYLY, TYPE B1",35,35,33,0,2,0.942857143,0.891891892,1
131,"POLYMICROGYRIA, BILATERAL FRONTOPARIETAL",26,26,22,0,4,0.846153846,0.733333333,1
132,reticulon 2,12,24,12,12,0,0.5,1,1
133,Nuclear receptor subfamily 1 group D member 1,96,514,96,418,0,0.186770428,1,3
134,Nodular glomerulosclerosis,21,21,18,0,3,0.857142857,0.75,1
135,regulatory factor X associated ankyrin containing protein,16,16,16,0,0,1,1,0
136,NADH:Q(1) Oxidoreductase deficiency,20,20,20,0,0,1,1,1
137,Congenital neurologic anomalies,23,23,20,0,3,0.869565217,0.769230769,1
138,WW domain containing E3 ubiquitin protein ligase 2,11,20,11,9,0,0.55,1,1
139,Colorectal Neoplasms,3181,3181,3000,0,181,0.943099654,0.892325996,3
140,transcription factor 3,122,244,122,122,0,0.5,1,1
141,T-Cell Prolymphocytic Leukemia,102,102,98,0,4,0.960784314,0.924528302,1
142,chromogranin A,392,784,392,392,0,0.5,1,8
143,Fetal Growth Retardation,180,180,160,0,20,0.888888889,0.8,1
144,"Muscular Dystrophies, Limb-Girdle",505,505,499,0,6,0.988118812,0.976516634,1
145,von Willebrand Disease,459,847,459,388,0,0.541912633,1,2
146,angiopoietin 2,494,988,494,494,0,0.5,1,3
147,GIPC PDZ domain containing family member 3,19,19,12,0,7,0.631578947,0.461538462,1
148,Epidermolysis Bullosa Herpetiformis Dowling-Meara,29,29,25,0,4,0.862068966,0.757575758,1
149,inflammatory joint disease,19,19,19,0,0,1,1,0
150,Duodenal Neoplasms,15,15,13,0,2,0.866666667,0.764705882,1
151,desmoglein 4,34,68,34,34,0,0.5,1,2
152,"Meningioma, benign, no ICD-O subtype",388,388,365,0,23,0.940721649,0.888077859,1
153,Intraepithelial Neoplasia,225,225,211,0,14,0.937777778,0.882845188,1
154,"Rhinitis, Allergic, Perennial",45,45,36,0,9,0.8,0.666666667,1
155,"STICKLER SYNDROME, TYPE II (disorder)",13,13,11,0,2,0.846153846,0.733333333,0
156,complex iii deficiency,22,22,21,0,1,0.954545455,0.913043478,1
157,microRNA 330,15,30,15,15,0,0.5,1,1
158,insulin like growth factor binding protein 3,911,911,900,0,11,0.987925357,0.976138829,2
159,Coronary Stenosis,156,156,121,0,35,0.775641026,0.633507853,1
160,Polycystic Kidney Diseases,366,366,344,0,22,0.93989071,0.886597938,1
161,"Neoplasms, Multiple Primary",36,36,32,0,4,0.888888889,0.8,1
162,nitric oxide,35,12713,35,12678,0,0.002753087,1,29
163,Wasting Syndrome,13,13,13,0,0,1,1,1
164,H2.0 like homeobox,27,27,23,0,4,0.851851852,0.741935484,1
165,Ovarian failure,84,724,84,640,0,0.116022099,1,3
166,vasodilator stimulated phosphoprotein,30,30,29,0,1,0.966666667,0.935483871,0
167,nuclear receptor subfamily 4 group A member 3,206,509,206,303,0,0.404715128,1,5
168,prokineticin 2,74,148,74,74,0,0.5,1,3
169,Vitamin A Deficiency,27,27,22,0,5,0.814814815,0.6875,1
170,interleukin 25,61,122,61,61,0,0.5,1,3
171,Bile Duct Neoplasms,20,20,19,0,1,0.95,0.904761905,1
172,Torre-Muir syndrome,93,93,88,0,5,0.946236559,0.897959184,1
173,sulfite oxidase,25,409,25,384,0,0.061124694,1,6
174,Pelger-Huet Anomaly,20,20,14,0,6,0.7,0.538461538,0
175,uroporphyrinogen III synthase,70,140,70,70,0,0.5,1,1
176,glycine receptor alpha 1,120,120,104,0,16,0.866666667,0.764705882,1
177,IgA nephropathy,150,306,150,156,0,0.490196078,1,4
178,bromodomain adjacent to zinc finger domain 1B,18,18,18,0,0,1,1,0
179,Congenital cataract,192,198,192,6,0,0.96969697,1,1
180,myosin IXB,105,210,105,105,0,0.5,1,1
181,"Depressive episode, unspecified",22,22,17,0,5,0.772727273,0.62962963,1
182,Middle Ear Cholesteatoma,16,16,14,0,2,0.875,0.777777778,1
183,Secondary malignant neoplasm of skin,13,13,13,0,0,1,1,1
184,Hartnup Disease,102,102,95,0,7,0.931372549,0.871559633,1
185,Pancreatic adenocarcinoma,596,596,500,0,96,0.838926174,0.722543353,1
186,Seckel syndrome,67,71,67,4,0,0.943661972,1,1
187,N-acetyltransferase 1,369,1001,369,632,0,0.368631369,1,3
